TimeStamp,SimulationID,VirtualAgentRole,VerbalMode,LLMPrefUpdateWeight,ToM,DepthProcessing,FacialExpression,ParticipantPhysiologicalSensitivity,LLMHypothesis,AgentScore,PlayerScore,VirtualAgentBelief,RewardBoxID,SelectedBox,Language,Moving,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
202505261333,2,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261333,3,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,0,0,EN,0,,,,,,,,
202505261333,4,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,1,-1,EN,0,,,,,,,,
202505261333,5,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,0,-1,EN,0,,,,,,,,
202505261333,6,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261333,7,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,1,-1,EN,0,,,,,,,,
202505261333,8,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261333,9,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261333,10,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,1,0,EN,0,,,,,,,,
202505261333,11,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,0,-1,EN,0,,,,,,,,
202505261333,12,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261333,13,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,0,-2,EN,0,,,,,,,,
202505261333,14,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261333,15,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,0,0,EN,0,,,,,,,,
202505261333,16,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261333,17,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,0,-1,EN,0,,,,,,,,
202505261333,18,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261512,1,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,0,0,EN,0,,,,,,,,
202505261512,2,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,3,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,0,0,EN,0,,,,,,,,
202505261512,4,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,5,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261512,6,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261512,7,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,8,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,9,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,10,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261512,11,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,0,0,EN,0,,,,,,,,
202505261512,12,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,0,-1,EN,0,,,,,,,,
202505261512,13,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,1,-2,EN,0,,,,,,,,
202505261512,14,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,15,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,16,Adversary,Verbal,0.5,0,2,TRUE,0,1,0,0,1,1,-1,EN,0,,,,,,,,
202505261512,17,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261512,18,Adversary,Verbal,0.5,0,2,TRUE,0,1,-1,1,1,1,1,EN,0,,,,,,,,
202505261512,19,Adversary,Verbal,0.5,0,2,TRUE,0,1,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,1,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,2,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,3,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,4,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,5,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,6,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,7,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,8,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,9,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,10,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,11,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,12,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,13,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,14,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,15,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,16,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,17,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,18,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-2,EN,0,,,,,,,,
202505261805,19,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,20,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,21,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,22,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,23,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,24,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,25,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,26,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,27,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-2,EN,0,,,,,,,,
202505261805,28,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,29,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,30,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,31,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,32,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,33,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,34,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-2,EN,0,,,,,,,,
202505261805,35,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,36,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,37,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,38,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,39,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,40,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,41,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,42,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,43,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,44,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,45,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,46,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,47,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,48,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,49,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,50,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,51,Adversary,Verbal,0.5,0,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,52,Adversary,Verbal,0.5,0,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,53,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,54,Adversary,Verbal,0.5,0,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,55,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,56,Adversary,Verbal,0.5,1,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,57,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,58,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,59,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,60,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,61,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,62,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,63,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,64,Adversary,Verbal,0.5,1,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,65,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,66,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
202505261805,67,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,68,Adversary,Verbal,0.5,1,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,69,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,70,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,71,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,72,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,73,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,74,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,75,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,76,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,1,0,EN,0,,,,,,,,
202505261805,77,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,1,1,EN,0,,,,,,,,
202505261805,78,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,79,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,80,Adversary,Verbal,0.5,1,2,TRUE,0,2,0,0,1,0,-1,EN,0,,,,,,,,
202505261805,81,Adversary,Verbal,0.5,1,2,TRUE,0,2,0,0,1,1,-1,EN,0,,,,,,,,
202505261805,82,Adversary,Verbal,0.5,1,2,TRUE,0,2,1,-1,1,0,1,EN,0,,,,,,,,
202505261805,83,Adversary,Verbal,0.5,1,2,TRUE,0,2,-1,1,1,0,0,EN,0,,,,,,,,
